comuna,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
ALGARROBO,basica,Insuficiente,48.2%,60.8%,38.3%,0.0%,48.2%,45.8%,61.5%,48.2%,0.0%,42.9%,51.5%,34.5%,0.0%,48.2%,46.5%,50.0%,48.2%,47.6%,100.0%,48.2%,48.1%,50.0%,48.2%,43.2%,81.8%
ALGARROBO,basica,Elemental,41.1%,29.7%,50.0%,0.0%,41.1%,44.4%,23.1%,41.1%,0.0%,14.3%,40.2%,51.7%,0.0%,41.1%,39.5%,42.7%,41.1%,41.6%,0.0%,41.1%,40.9%,42.9%,41.1%,44.5%,18.2%
ALGARROBO,basica,Adecuado,10.7%,9.5%,11.7%,0.0%,10.7%,9.9%,15.4%,10.7%,0.0%,42.9%,8.3%,13.8%,0.0%,10.7%,14.0%,7.3%,10.7%,10.8%,0.0%,10.7%,11.0%,7.1%,10.7%,12.3%,0.0%
ALGARROBO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ALHUÉ,basica,Insuficiente,41.2%,41.2%,0.0%,0.0%,41.2%,40.0%,42.6%,41.2%,0.0%,53.3%,35.8%,0.0%,0.0%,41.2%,41.7%,40.8%,41.2%,39.8%,75.0%,41.2%,41.2%,41.7%,41.2%,33.8%,76.5%
ALHUÉ,basica,Elemental,42.3%,42.3%,0.0%,0.0%,42.3%,42.0%,42.6%,42.3%,0.0%,33.3%,46.3%,0.0%,0.0%,42.3%,37.5%,46.9%,42.3%,43.0%,25.0%,42.3%,42.4%,41.7%,42.3%,47.5%,17.6%
ALHUÉ,basica,Adecuado,16.5%,16.5%,0.0%,0.0%,16.5%,18.0%,14.9%,16.5%,0.0%,13.3%,17.9%,0.0%,0.0%,16.5%,20.8%,12.2%,16.5%,17.2%,0.0%,16.5%,16.5%,16.7%,16.5%,18.8%,5.9%
ALHUÉ,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ALTO BIOBÍO,basica,Insuficiente,76.5%,74.6%,83.3%,0.0%,76.5%,0.0%,76.5%,76.5%,82.1%,64.0%,0.0%,0.0%,0.0%,76.5%,66.7%,84.4%,76.5%,71.4%,77.6%,76.5%,76.5%,0.0%,76.5%,70.8%,100.0%
ALTO BIOBÍO,basica,Elemental,18.5%,20.6%,11.1%,0.0%,18.5%,0.0%,18.5%,18.5%,16.1%,24.0%,0.0%,0.0%,0.0%,18.5%,30.6%,8.9%,18.5%,28.6%,16.4%,18.5%,18.5%,0.0%,18.5%,23.1%,0.0%
ALTO BIOBÍO,basica,Adecuado,4.9%,4.8%,5.6%,0.0%,4.9%,0.0%,4.9%,4.9%,1.8%,12.0%,0.0%,0.0%,0.0%,4.9%,2.8%,6.7%,4.9%,0.0%,6.0%,4.9%,4.9%,0.0%,4.9%,6.2%,0.0%
ALTO BIOBÍO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
ALTO DEL CARMEN,basica,Insuficiente,48.8%,48.8%,0.0%,0.0%,48.8%,0.0%,48.8%,48.8%,0.0%,55.0%,47.6%,0.0%,0.0%,48.8%,27.8%,64.0%,50.0%,40.9%,60.0%,48.8%,48.8%,50.0%,48.8%,42.4%,70.0%
ALTO DEL CARMEN,basica,Elemental,30.2%,30.2%,0.0%,0.0%,30.2%,0.0%,30.2%,30.2%,0.0%,30.0%,33.3%,0.0%,0.0%,30.2%,27.8%,32.0%,31.0%,36.4%,25.0%,30.2%,29.3%,50.0%,30.2%,33.3%,20.0%
ALTO DEL CARMEN,basica,Adecuado,20.9%,20.9%,0.0%,0.0%,20.9%,0.0%,20.9%,20.9%,100.0%,15.0%,19.0%,0.0%,0.0%,20.9%,44.4%,4.0%,19.0%,22.7%,15.0%,20.9%,22.0%,0.0%,20.9%,24.2%,10.0%
ALTO DEL CARMEN,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ALTO HOSPICIO,basica,Insuficiente,48.7%,66.3%,47.9%,0.0%,48.7%,51.0%,41.0%,48.7%,66.1%,51.2%,39.3%,0.0%,0.0%,48.7%,43.5%,53.7%,48.6%,51.5%,38.2%,48.7%,46.3%,60.8%,48.7%,45.9%,82.8%
ALTO HOSPICIO,basica,Elemental,34.8%,27.7%,35.1%,0.0%,34.8%,33.0%,41.0%,34.8%,24.7%,33.1%,40.8%,0.0%,0.0%,34.8%,37.3%,32.3%,34.8%,33.2%,40.9%,34.8%,35.9%,29.1%,34.8%,36.3%,15.9%
ALTO HOSPICIO,basica,Adecuado,16.5%,6.0%,17.0%,0.0%,16.5%,16.0%,18.0%,16.5%,9.2%,15.8%,19.9%,0.0%,0.0%,16.5%,19.1%,13.9%,16.5%,15.3%,20.9%,16.5%,17.8%,10.0%,16.5%,17.8%,1.4%
ALTO HOSPICIO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANCUD,basica,Insuficiente,32.8%,35.6%,32.0%,0.0%,32.8%,32.1%,35.6%,32.8%,46.7%,35.1%,35.8%,14.3%,6.9%,32.8%,26.8%,38.7%,32.4%,30.5%,40.2%,32.8%,31.7%,66.7%,32.8%,24.6%,73.5%
ANCUD,basica,Elemental,43.5%,42.5%,43.8%,0.0%,43.5%,42.3%,49.3%,43.5%,40.0%,45.7%,39.6%,39.3%,55.2%,43.5%,45.9%,41.2%,43.7%,45.5%,36.6%,43.5%,44.1%,25.0%,43.5%,47.5%,23.5%
ANCUD,basica,Adecuado,23.7%,21.8%,24.2%,0.0%,23.7%,25.6%,15.1%,23.7%,13.3%,19.1%,24.6%,46.4%,37.9%,23.7%,27.3%,20.1%,23.8%,24.0%,23.2%,23.7%,24.2%,8.3%,23.7%,27.9%,2.9%
ANCUD,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANDACOLLO,basica,Insuficiente,27.3%,40.7%,15.9%,0.0%,27.3%,28.6%,21.7%,27.3%,0.0%,76.2%,17.8%,0.0%,0.0%,27.3%,23.9%,31.6%,27.3%,27.3%,0.0%,27.3%,26.8%,100.0%,27.3%,19.1%,77.8%
ANDACOLLO,basica,Elemental,34.4%,35.6%,33.3%,0.0%,34.4%,33.3%,39.1%,34.4%,0.0%,19.0%,37.4%,0.0%,0.0%,34.4%,39.4%,28.1%,34.4%,34.4%,0.0%,34.4%,34.6%,0.0%,34.4%,37.3%,16.7%
ANDACOLLO,basica,Adecuado,38.3%,23.7%,50.7%,0.0%,38.3%,38.1%,39.1%,38.3%,0.0%,4.8%,44.9%,0.0%,0.0%,38.3%,36.6%,40.4%,38.3%,38.3%,0.0%,38.3%,38.6%,0.0%,38.3%,43.6%,5.6%
ANDACOLLO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANGOL,basica,Insuficiente,33.1%,32.0%,36.5%,4.3%,33.1%,32.4%,70.0%,33.1%,56.7%,42.1%,26.2%,29.8%,4.3%,33.1%,27.0%,38.3%,33.1%,32.3%,38.0%,33.1%,33.4%,11.1%,33.1%,26.2%,71.0%
ANGOL,basica,Elemental,39.0%,38.7%,40.4%,26.1%,39.0%,39.5%,10.0%,39.0%,28.3%,40.2%,40.5%,43.9%,26.1%,39.0%,40.2%,38.0%,39.0%,40.1%,31.6%,39.0%,38.9%,44.4%,39.0%,42.0%,22.6%
ANGOL,basica,Adecuado,27.9%,29.3%,23.0%,69.6%,27.9%,28.1%,20.0%,27.9%,15.0%,17.7%,33.2%,26.3%,69.6%,27.9%,32.7%,23.8%,27.9%,27.6%,30.4%,27.9%,27.7%,44.4%,27.9%,31.8%,6.5%
ANGOL,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANTOFAGASTA,basica,Insuficiente,37.0%,44.3%,34.1%,17.0%,37.0%,37.0%,0.0%,37.0%,62.3%,48.3%,40.4%,28.6%,19.6%,37.0%,30.0%,44.0%,36.9%,36.9%,37.1%,37.0%,34.6%,49.7%,37.0%,34.1%,74.1%
ANTOFAGASTA,basica,Elemental,39.1%,37.7%,40.9%,38.5%,39.1%,39.1%,0.0%,39.1%,32.3%,35.1%,39.8%,40.9%,41.5%,39.1%,40.6%,37.6%,39.0%,39.0%,41.9%,39.0%,40.1%,33.4%,39.0%,40.4%,21.0%
ANTOFAGASTA,basica,Adecuado,24.0%,18.1%,25.0%,44.4%,24.0%,24.0%,0.0%,24.0%,5.4%,16.6%,19.8%,30.5%,38.8%,24.0%,29.4%,18.5%,24.0%,24.1%,21.0%,24.0%,25.4%,16.9%,24.0%,25.5%,4.9%
ANTOFAGASTA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANTUCO,basica,Insuficiente,41.2%,42.3%,37.5%,0.0%,41.2%,36.7%,75.0%,41.2%,0.0%,0.0%,41.2%,0.0%,0.0%,41.2%,45.0%,35.7%,41.2%,42.4%,0.0%,41.2%,41.2%,0.0%,41.2%,26.1%,72.7%
ANTUCO,basica,Elemental,38.2%,30.8%,62.5%,0.0%,38.2%,43.3%,0.0%,38.2%,0.0%,0.0%,38.2%,0.0%,0.0%,38.2%,35.0%,42.9%,38.2%,36.4%,100.0%,38.2%,38.2%,0.0%,38.2%,43.5%,27.3%
ANTUCO,basica,Adecuado,20.6%,26.9%,0.0%,0.0%,20.6%,20.0%,25.0%,20.6%,0.0%,0.0%,20.6%,0.0%,0.0%,20.6%,20.0%,21.4%,20.6%,21.2%,0.0%,20.6%,20.6%,0.0%,20.6%,30.4%,0.0%
ANTUCO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
ARAUCO,basica,Insuficiente,37.9%,39.9%,41.4%,0.0%,37.9%,36.3%,42.5%,37.9%,46.6%,35.2%,39.7%,55.6%,0.0%,37.9%,31.0%,44.4%,37.9%,37.6%,40.0%,37.9%,38.2%,16.7%,37.9%,30.9%,75.4%
ARAUCO,basica,Elemental,38.1%,38.8%,39.8%,22.2%,38.1%,37.2%,40.7%,38.1%,41.4%,43.4%,36.8%,33.3%,22.2%,38.1%,41.3%,35.1%,38.1%,37.4%,44.0%,38.1%,38.2%,33.3%,38.1%,41.7%,18.8%
ARAUCO,basica,Adecuado,24.0%,21.2%,18.8%,77.8%,24.0%,26.5%,16.8%,24.0%,12.1%,21.3%,23.5%,11.1%,77.8%,24.0%,27.7%,20.4%,24.0%,25.0%,16.0%,24.0%,23.6%,50.0%,24.0%,27.4%,5.8%
ARAUCO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
