region,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
ANTOF,basica,Insuficiente,39.00%,43.60%,37.50%,17.90%,39.00%,39.00%,33.30%,39.00%,61.60%,47.40%,42.50%,30.20%,19.70%,39.00%,32.50%,45.70%,39.00%,39.00%,39.00%,39.00%,37.10%,48.20%,39.00%,35.80%,75.70%
ANTOF,basica,Elemental,38.70%,37.60%,40.50%,38.20%,38.70%,38.60%,50.00%,38.70%,32.30%,36.00%,38.60%,41.80%,40.60%,38.70%,40.50%,36.80%,38.60%,38.40%,41.10%,38.70%,39.50%,34.30%,38.70%,40.30%,20.40%
ANTOF,basica,Adecuado,22.30%,18.80%,22.00%,43.80%,22.30%,22.40%,16.70%,22.30%,6.10%,16.60%,18.90%,28.00%,39.70%,22.30%,27.00%,17.50%,22.30%,22.50%,20.00%,22.40%,23.30%,17.50%,22.40%,24.00%,3.90%
ANTOF,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ARAUC,basica,Insuficiente,42.20%,44.10%,43.50%,9.50%,42.20%,38.50%,56.80%,42.20%,59.90%,46.50%,36.90%,34.30%,12.10%,42.20%,36.50%,47.90%,42.10%,37.90%,51.20%,42.20%,42.20%,37.30%,42.20%,35.30%,75.10%
ARAUC,basica,Elemental,36.90%,36.70%,37.10%,34.20%,36.90%,37.90%,32.70%,36.90%,29.70%,36.80%,40.30%,40.90%,32.80%,36.90%,38.50%,35.20%,36.90%,38.10%,34.20%,36.90%,36.90%,34.90%,36.90%,40.30%,20.50%
ARAUC,basica,Adecuado,21.00%,19.10%,19.40%,56.30%,21.00%,23.60%,10.50%,21.00%,10.40%,16.70%,22.80%,24.80%,55.10%,21.00%,25.00%,16.90%,21.00%,24.00%,14.70%,21.00%,20.90%,27.70%,21.00%,24.40%,4.40%
ARAUC,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ATCMA,basica,Insuficiente,40.40%,45.60%,42.10%,11.40%,40.40%,40.10%,46.70%,40.40%,55.80%,47.90%,49.10%,29.90%,11.40%,40.40%,33.50%,47.00%,40.40%,39.80%,50.30%,40.50%,40.20%,45.50%,40.50%,37.50%,75.60%
ATCMA,basica,Elemental,37.00%,35.80%,39.50%,30.60%,37.00%,36.80%,40.00%,37.00%,28.80%,34.60%,36.30%,44.30%,30.60%,37.00%,40.40%,33.70%,37.00%,37.20%,33.10%,37.00%,37.10%,34.80%,37.00%,38.20%,22.80%
ATCMA,basica,Adecuado,22.60%,18.60%,18.40%,58.00%,22.60%,23.00%,13.30%,22.60%,15.40%,17.50%,14.60%,25.80%,58.00%,22.60%,26.10%,19.30%,22.60%,23.00%,16.60%,22.60%,22.70%,19.60%,22.60%,24.30%,1.60%
ATCMA,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
