slep,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
CHINCHORRO,basica,Insuficiente,33.7%,41.6%,30.9%,19.1%,33.7%,33.4%,37.2%,33.7%,48.3%,41.9%,28.4%,31.7%,19.1%,33.7%,28.9%,38.7%,33.6%,33.8%,33.2%,33.6%,32.3%,43.0%,33.6%,30.0%,72.7%
CHINCHORRO,basica,Elemental,39.5%,37.9%,40.7%,33.1%,39.5%,39.7%,36.6%,39.5%,32.2%,39.2%,39.9%,42.7%,33.1%,39.5%,41.1%,37.7%,39.4%,38.8%,41.7%,39.4%,39.9%,36.0%,39.4%,41.0%,23.3%
CHINCHORRO,basica,Adecuado,26.9%,20.6%,28.4%,47.8%,26.9%,26.9%,26.2%,26.9%,19.5%,18.9%,31.6%,25.7%,47.8%,26.9%,30.0%,23.6%,26.9%,27.4%,25.1%,26.9%,27.8%,21.1%,26.9%,29.1%,4.1%
CHINCHORRO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
IQUIQUE,basica,Insuficiente,43.8%,54.4%,43.7%,15.2%,43.8%,44.2%,41.0%,43.8%,62.1%,51.5%,44.5%,32.7%,15.2%,43.8%,39.3%,48.5%,43.7%,44.3%,39.3%,43.8%,41.2%,57.0%,43.8%,41.0%,80.8%
IQUIQUE,basica,Elemental,36.7%,33.9%,37.4%,36.9%,36.7%,36.1%,42.0%,36.7%,26.0%,34.0%,37.8%,43.1%,36.9%,36.7%,38.3%,35.1%,36.8%,36.3%,40.1%,36.7%,38.1%,29.6%,36.7%,38.1%,17.9%
IQUIQUE,basica,Adecuado,19.5%,11.7%,18.9%,47.9%,19.5%,19.7%,17.0%,19.5%,11.9%,14.5%,17.7%,24.3%,47.9%,19.5%,22.3%,16.5%,19.5%,19.4%,20.6%,19.5%,20.7%,13.4%,19.5%,20.8%,1.3%
IQUIQUE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TAMARUGAL,basica,Insuficiente,52.2%,53.5%,38.2%,0.0%,52.2%,0.0%,52.2%,52.2%,61.6%,57.4%,49.4%,13.6%,0.0%,52.2%,47.6%,57.1%,51.9%,54.7%,48.6%,51.9%,45.2%,75.6%,51.9%,44.6%,93.2%
TAMARUGAL,basica,Elemental,35.2%,33.8%,50.0%,0.0%,35.2%,0.0%,35.2%,35.2%,27.4%,32.0%,38.8%,50.0%,0.0%,35.2%,35.9%,34.4%,35.3%,32.1%,39.1%,35.3%,40.0%,18.6%,35.3%,40.7%,5.1%
TAMARUGAL,basica,Adecuado,12.7%,12.7%,11.8%,0.0%,12.7%,0.0%,12.7%,12.7%,11.0%,10.7%,11.8%,36.4%,0.0%,12.7%,16.5%,8.5%,12.8%,13.2%,12.3%,12.8%,14.8%,5.8%,12.8%,14.8%,1.7%
TAMARUGAL,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANTOFAGASTA,basica,Insuficiente,38.3%,45.8%,34.1%,17.0%,38.3%,38.3%,50.0%,38.3%,62.3%,50.3%,41.2%,28.6%,19.6%,38.3%,31.7%,45.0%,38.2%,38.2%,38.0%,38.2%,35.7%,51.1%,38.2%,35.1%,76.5%
ANTOFAGASTA,basica,Elemental,38.6%,36.8%,40.9%,38.5%,38.6%,38.5%,50.0%,38.6%,32.3%,33.8%,39.5%,40.9%,41.5%,38.6%,39.9%,37.1%,38.5%,38.4%,42.3%,38.5%,39.6%,33.0%,38.5%,40.1%,19.2%
ANTOFAGASTA,basica,Adecuado,23.2%,17.4%,25.0%,44.4%,23.2%,23.2%,0.0%,23.2%,5.4%,16.0%,19.3%,30.5%,38.8%,23.2%,28.4%,17.9%,23.3%,23.3%,19.7%,23.3%,24.7%,15.9%,23.3%,24.8%,4.3%
ANTOFAGASTA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LICANCABUR,basica,Insuficiente,40.2%,40.4%,44.3%,20.2%,40.2%,40.4%,32.8%,40.2%,58.8%,43.6%,44.4%,33.1%,19.8%,40.2%,33.9%,46.8%,40.4%,40.7%,39.1%,40.2%,39.6%,43.4%,40.2%,37.0%,74.5%
