comuna,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto
ALGARROBO,ratio docente,15.75,13.47,17.47,,15.75,19.76,10.41,15.75,,11.6,16.23,17.52,
ALHUÉ,ratio docente,10.91,10.91,,,10.91,16.29,9.56,10.91,,10.92,10.9,,
ALTO BIOBÍO,ratio docente,11.71,11.17,12.62,,11.71,,11.71,11.71,11.53,12.96,,,
ALTO DEL CARMEN,ratio docente,9.11,9.11,,,9.11,,9.11,10.98,11,11.23,10.59,,
ALTO HOSPICIO,ratio docente,25.98,19.01,26.47,,25.98,25.93,26.41,26.15,28.19,25.09,27.94,,
ANCUD,ratio docente,9.76,6.76,12.32,,9.76,12,7.14,9.91,7.77,10.27,11.15,9.45,18.57
ANDACOLLO,ratio docente,10.11,7.76,18.36,,10.11,13.47,5.91,11.13,4,7.86,15.36,,
ANGOL,ratio docente,13.26,10.59,16.68,18.52,13.26,15.52,4.99,13.42,8.92,16.01,16.83,19.45,18.52
ANTOFAGASTA,ratio docente,20.48,19.78,24.41,14.22,20.48,20.48,,20.62,20.78,20.51,22.82,22.14,15.03
ANTUCO,ratio docente,5.52,5.33,6.29,,5.52,9.82,2.65,6.44,2.88,,7.63,,
ARAUCO,ratio docente,8.71,7.49,17.93,13.81,8.71,13.5,6.42,9.44,6.74,10.44,13.46,14.1,13.81
ARICA,ratio docente,17.18,14.88,20.08,13.41,17.18,17.73,13.34,17.33,15.06,16.6,18.66,19.55,13.41
AYSÉN,ratio docente,10.76,9.1,14.41,,10.76,11.52,5.46,11.35,14.18,8.56,15.3,16.54,
BUIN,ratio docente,19.28,17,24.54,17.19,19.28,19.68,17.41,19.28,23.99,18.57,19.89,13.37,19.86
BULNES,ratio docente,10.12,7.45,17.06,,10.12,13.78,6.45,10.12,7.52,8.94,19.32,,
CABILDO,ratio docente,10.19,8.64,17.97,,10.19,14.64,5.74,10.69,6.82,11.04,16.17,8.78,
CABO DE HORNOS,ratio docente,13.69,13.69,,,13.69,13.69,,13.69,,,,13.69,
CABRERO,ratio docente,9.46,7.76,15.6,,9.46,14.38,5.68,10.52,9.7,11.55,11.88,3.5,
CALAMA,ratio docente,20.48,19.05,25.71,14.34,20.48,21.89,6.36,20.63,,20.12,24.07,20.07,14.34
CALBUCO,ratio docente,9.66,8.06,15.86,,9.66,16.1,7.73,9.94,7.79,10.29,16.21,,
CALDERA,ratio docente,16.99,14.21,23.94,,16.99,18.32,9,22.31,,19.05,21.89,26,
CALERA,ratio docente,16.09,9.95,19.07,22.89,16.09,16.6,9.4,16.09,11.69,13.34,20.64,27.55,22.89
CALERA DE TANGO,ratio docente,17.53,17.89,22.34,13.66,17.53,18.48,17.13,17.53,,18.99,22.36,,13.66
CALLE LARGA,ratio docente,12.68,9.16,20.64,13.47,12.68,13.79,7.71,13.52,14.25,9.58,10.78,36.83,13.47
CAMARONES,ratio docente,2.38,2.38,,,2.38,,2.38,4.06,5.33,3,2.33,5.58,
CAMIÑA,ratio docente,5.53,5.53,,,5.53,,5.53,5.53,8.57,,6,2,3.5
CANELA,ratio docente,11.26,12.42,2,,11.26,15.33,9.23,13.29,13.31,14.1,12.85,,
CAÑETE,ratio docente,10.55,8.98,14.27,,10.55,13.28,8.67,10.83,9.64,10.3,,21.51,
CARAHUE,ratio docente,11.93,10,12.73,,11.93,12.55,11.67,12.23,11.88,12.71,13.75,,
CARTAGENA,ratio docente,14.11,9.45,24.99,,14.11,17.74,5.64,14.11,8.15,10.61,24.99,4.92,
CASABLANCA,ratio docente,12.79,10.8,14.78,10.8,12.79,12.79,,12.79,8.28,12.08,15.42,10.87,10.8
CASTRO,ratio docente,10.76,9.53,13.59,,10.76,14.55,5.61,11.62,7.19,13.22,15.29,12.12,14.05
CATEMU,ratio docente,11.46,9.74,18.35,,11.46,13.28,9.64,11.46,11.32,14.12,8.87,,
CAUQUENES,ratio docente,9.36,8.45,15.73,,9.36,14.46,4.86,10.48,6.36,12.13,15.06,17.18,
CERRILLOS,ratio docente,18.34,15.13,20.75,,18.34,18.34,,18.34,18.34,16.25,19.43,22.99,
CERRO NAVIA,ratio docente,17.28,13.8,21.38,,17.28,17.28,,17.28,14.74,18.65,15.58,,
CHAITÉN,ratio docente,8.08,8.08,,,8.08,,8.08,8.19,5.75,7.02,11.77,,
CHAÑARAL,ratio docente,16.74,17.08,14.65,,16.74,16.74,,16.32,,18,14.65,,
