slep,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto
CHINCHORRO,ratio docente,13.72,10.18,20.08,13.41,13.72,17.73,6.05,15.09,12,14.95,16.81,16.67,11.73
IQUIQUE,ratio docente,22.31,17.42,24.15,21.8,22.31,22.47,20.02,22.36,23.38,21.22,22.08,25.36,21.8
TAMARUGAL,ratio docente,9.38,8.99,24.18,,9.38,,9.38,10.04,10.08,14.03,13.62,4.82,3.75
ANTOFAGASTA,ratio docente,20.05,19.17,24.41,14.22,20.05,20.32,6.57,20.2,17.14,20.2,22.07,22.14,15.03
LICANCABUR,ratio docente,18.57,16.85,25.75,14.34,18.57,21.48,5.75,18.64,19.01,20.05,19.84,16.83,13.09
ATACAMA,ratio docente,17.9,16.49,21.22,18.56,17.9,18.44,13.27,19.4,16.85,17.3,20.71,21.57,18.56
HUASCO,ratio docente,14.17,13.37,23.74,10.67,14.17,17.38,9.5,14.78,11.99,13.21,16.11,23.74,10.67
ELQUI,ratio docente,14.54,11.21,17.99,15.67,14.54,15.83,9.22,15.01,11.11,13.45,15.82,17.75,16.39
PUERTO CORDILLERA,ratio docente,15.87,12.32,18.99,19.07,15.87,17.31,7.68,16.28,12.27,15.22,17.67,18.92,19.07
LIMARÍ,ratio docente,10.19,8.41,19.25,31.5,10.19,17.98,6.33,11.04,8.16,11.12,14.96,21.65,29.5
CHOAPA,ratio docente,10.48,10.25,10.88,,10.48,15.55,7.33,11.57,8.88,12.44,13.6,12.7,
VALPARAÍSO,ratio docente,13.56,10.09,16.43,14.1,13.56,13.59,10.93,13.7,9.26,11.85,16.53,17.27,14.45
HANGA ROA,ratio docente,12.56,13.14,11.99,,12.56,12.56,,12.56,,,13.14,11.99,
COSTA CENTRAL,ratio docente,14.57,10.91,18.26,14.6,14.57,14.88,9.24,14.6,10.13,14.04,14.81,17.03,14.73
PETORCA,ratio docente,9.86,8.14,16.42,10.71,9.86,14.62,6.41,10.3,5.57,10.75,12.36,12.76,10.71
LOS ANDES,ratio docente,13.75,9.73,20.32,17.92,13.75,15.37,5.13,13.94,7.81,10.37,16.12,25.75,18.95
QUILLOTA,ratio docente,14.17,10.3,18.31,19.04,14.17,16.21,7.66,14.27,7.07,11.53,16.28,18.86,19.04
MARGA MARGA,ratio docente,13.89,10.6,15.79,15.17,13.89,14.4,7.51,13.97,8.64,12.09,14.63,17.95,15.17
DEL LITORAL,ratio docente,14.97,11.86,18.36,11.55,14.97,16.4,8.48,14.91,11.11,13.09,17.11,16.21,11.55
ACONCAGUA,ratio docente,11.44,8.57,16.93,16.03,11.44,13.35,7.29,11.57,7.81,10.6,13.39,15.15,16.03
SANTIAGO CENTRO,ratio docente,18.62,15.67,21.27,15.78,18.62,18.62,,19.09,,20.36,18.23,20.8,15.78
MAIPO SUR,ratio docente,19.62,16.25,25.32,17.29,19.62,21,15.55,19.62,20.14,17.01,19.81,26.51,19.72
SANTA CORINA,ratio docente,20.21,16.58,21.96,17.81,20.21,20.21,,20.31,16.26,17.28,21.17,22.29,19.47
CHACABUCO,ratio docente,20.72,18.85,25.37,12.82,20.72,21.99,14.13,20.76,20.95,23.63,21.67,22.47,12.82
LOS LIBERTADORES,ratio docente,22.11,16.37,25.76,24.08,22.11,22.06,25.77,22.11,14.27,18.65,24.3,27.69,24.08
DEL PINO,ratio docente,19.13,15.71,21.52,16.11,19.13,19.2,17.13,19.2,17.52,18.65,21.19,24.75,16.11
MAPOCHO,ratio docente,19.85,15.48,22.96,16.74,19.85,19.85,,20.19,13.93,19.4,22.32,21.77,16.74
SANTA ROSA,ratio docente,18.69,14.65,20.58,17,18.69,18.69,,18.92,15.99,16.49,20.86,22.75,18.6
LA QUEBRADA,ratio docente,16.89,14.66,19.33,13.09,16.89,16.89,,17.27,13.85,18.2,18.33,19.35,13.7
MANQUEHUE,ratio docente,13.58,16.18,16.77,11.97,13.58,13.62,6.53,13.8,,14.36,17.3,18.45,12.15
GABRIELA MISTRAL,ratio docente,17.28,13,20.53,13.57,17.28,17.28,,17.3,11.46,16.96,18.78,19.98,13.57
MELIPILLA,ratio docente,15.36,13.18,19.37,13.54,15.36,17.38,12.18,15.67,14.29,14.79,16,24.13,15.07
BARRANCAS,ratio docente,19.58,15.34,23.2,28.58,19.58,19.63,18.11,19.68,14.94,18.75,22.18,27.99,28.58
LOS VIÑEDOS,ratio docente,18.39,15.6,19.98,13.06,18.39,18.94,13.84,18.55,15.79,17.83,18.43,24.9,15.68
LOS PARQUES,ratio docente,20.52,16.81,22.82,,20.52,20.52,,20.52,18.46,19.19,21.97,21.6,
TALAGANTE,ratio docente,18.24,14.34,20.82,15.59,18.24,18.69,12.45,18.35,12.84,16.64,21.66,21.81,15.46
COSTA COLCHAGUA,ratio docente,9.37,8.06,23.28,12.88,9.37,16.5,6.21,10.2,8.71,9.85,12.97,10.52,12.88
VALLE CACHAPOAL,ratio docente,13.21,11.83,19.34,,13.21,16.65,10.44,13.21,10.95,12.82,17.08,22.49,
CACHAPOAL COSTA,ratio docente,12.42,10.74,18.76,,12.42,16.35,10.1,12.53,11.35,11.31,14.54,20.8,
CARDENAL CARO,ratio docente,9.36,8.71,18.96,,9.36,15.75,6.65,10.29,5.57,10.84,13.3,12.77,
CACHAPOAL NORTE,ratio docente,16.55,13.8,19.2,16.08,16.55,17.59,11.35,16.59,13.2,15.02,18.35,20.38,16.08
COLCHAGUA,ratio docente,13.06,10.46,17.82,15.45,13.06,15.45,10.36,13.06,10.66,12.88,16.19,19.05,15.45
MAULE COSTA,ratio docente,10.73,9.12,19.22,14.06,10.73,14.88,7.53,11.55,8.77,12.26,15.67,18.77,14.06
LOS CEREZOS,ratio docente,10.93,8.82,17.71,14.48,10.93,15.02,7.6,11.34,10.08,10.29,14.22,17.06,14.48
LOS ÁLAMOS,ratio docente,11.34,9.39,17.67,20.65,11.34,15.52,8.64,11.67,9.27,11.95,18.73,17.35,20.65
MAULE VALLE,ratio docente,12.63,9.08,20.22,18.5,12.63,16.33,7.6,12.82,9.55,12.2,15.91,18.8,18.5
VALLE DIGUILLÍN,ratio docente,10.41,7.01,16.31,15.9,10.41,13.29,6.5,10.82,7.75,9.9,14.26,17.8,17.12
PUNILLA CORDILLERA,ratio docente,7.78,6.61,13.72,,7.78,11.63,6.08,8.29,6.65,9.17,13.19,13.81,
COSTA ITATA,ratio docente,6.92,6.3,13.53,,6.92,11.39,4.73,7.37,4.57,8.88,10.22,5.83,
ANDALIÉN SUR,ratio docente,12.25,8.04,15.8,14.78,12.25,13.55,5.82,12.49,6.79,9.72,15.18,16.98,15.57
PUELCHE,ratio docente,8.96,8.3,12.31,,8.96,12.46,7.15,9.76,8.67,10.91,10.61,,
ARAUCO NORTE,ratio docente,9.4,8.34,15.96,13.81,9.4,12.83,5.85,10.43,8,11.8,14.36,14.21,13.81
ARAUCO SUR,ratio docente,8.46,7.33,11.63,,8.46,12.65,7.15,9.12,7.87,10.16,15.77,16.3,
ANDALIÉN COSTA,ratio docente,13.27,9.31,17.81,14.72,13.27,14.35,4.74,13.62,8.02,12.76,17.92,18.73,16.35
VALLE BIOBÍO,ratio docente,8.74,7.74,12.71,,8.74,12.58,5.25,9.95,7.08,9.41,13.55,18.68,
LOS COPIHUES,ratio docente,12.61,9.24,17.43,16.41,12.61,15.38,8.29,12.89,10.75,12.02,15.01,16.64,16.41
LAS CALETAS,ratio docente,11.25,8.88,15.37,20.83,11.25,12.49,5.32,11.55,7.4,9.9,12.64,16.33,20.83
MALLECO COSTA,ratio docente,11.87,10.46,14.32,18.52,11.87,14.18,9.15,12.28,11.22,12.53,15.02,17.62,18.52
COSTA ARAUCANÍA,ratio docente,10.31,7.79,11.8,,10.31,13.64,9.03,10.93,9.89,12.45,15.57,,
MALLECO CORDILLERA,ratio docente,10.7,9.33,14.16,,10.7,13.78,8.48,10.55,9.54,10.46,13.85,16.79,
CAUTÍN NORTE,ratio docente,12.29,9.27,14.3,15.7,12.29,15.59,8.72,12.48,9.72,13.24,15.93,18.24,16.78
CAUTÍN SUR,ratio docente,10.89,8.22,12.6,11.44,10.89,13.22,9.5,11.19,9.45,11.41,14.55,15.27,13.62
RANCO,ratio docente,9.81,7.47,13.8,12.6,9.81,14.12,8.33,10.65,7.73,12.7,12.34,13.47,12.6
VALDIVIA,ratio docente,10.38,8.11,12.97,14.02,10.38,13.36,7.73,11.13,8.38,10.76,13.7,17.21,15.17
LLANQUIHUE,ratio docente,11.82,9.87,15.62,14.62,11.82,15.73,9.7,12.01,10.43,12.52,13.89,11.01,14.62
CHILOÉ,ratio docente,8.26,6.53,13.04,,8.26,13.4,5.5,8.62,6.81,9.22,10.07,10.44,15.55
OSORNO,ratio docente,12.34,9.41,15.92,15.5,12.34,15.03,8.89,12.84,11.8,12.16,14.03,17.66,15.5
RELONCAVÍ,ratio docente,12.37,9.43,20.52,16.23,12.37,17.75,8.4,13,9.22,12.37,16.19,19.47,18.56
AYSÉN,ratio docente,10.77,8.71,15.38,,10.77,12.88,7.94,11.06,10.21,8.91,12.2,17.16,16.02
MAGALLANES,ratio docente,12.63,10.37,18.03,14.53,12.63,14.28,4.78,13.4,8.06,12.21,13.92,15.26,14.6
TODAS,ratio docente,13.74,10.41,18.1,14.66,13.74,16.58,8.1,14.17,9.95,13.59,16.98,19.18,15.01
CHINCHORRO,ratio docente parvularia,16.97,15.42,19.4,11.68,16.97,17.21,15.26,17.26,17.3,16.15,17.94,20.95,11.68
IQUIQUE,ratio docente parvularia,24.32,23.11,25.42,17.57,24.32,24.24,24.98,24.56,24.45,26.25,23.8,23.7,17.57
TAMARUGAL,ratio docente parvularia,16.78,16.78,,,16.78,,16.78,16.78,14.83,19.13,15.8,24,
ANTOFAGASTA,ratio docente parvularia,22.64,22.8,28.01,14.5,22.64,22.64,,22.64,48.75,22.94,24.03,23.38,15.14
