comuna,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,ne_tot,ne_parv,ne_bas,ne_media,ne_esp,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
ALGARROBO,No repite,98.60%,97.80%,99.40%,0.00%,98.60%,98.60%,98.80%,98.60%,0.00%,96.80%,98.40%,100.00%,0.00%,98.60%,98.40%,98.80%,98.60%,0.00%,99.30%,97.10%,0.00%,98.60%,98.70%,96.80%,98.60%,98.60%,98.30%,98.60%,98.90%,96.70%
ALGARROBO,Repite,1.40%,2.20%,0.60%,0.00%,1.40%,1.40%,1.20%,1.40%,0.00%,3.20%,1.60%,0.00%,0.00%,1.40%,1.60%,1.20%,1.40%,0.00%,0.70%,2.90%,0.00%,1.40%,1.30%,3.20%,1.40%,1.40%,1.70%,1.40%,1.10%,3.30%
ALGARROBO,Total,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ALHUÉ,No repite,99.00%,99.00%,0.00%,0.00%,99.00%,98.50%,100.00%,99.00%,0.00%,100.00%,98.70%,0.00%,0.00%,99.00%,98.70%,99.30%,99.00%,0.00%,99.40%,97.90%,0.00%,99.00%,99.00%,98.40%,99.00%,98.90%,100.00%,99.00%,99.20%,98.10%
ALHUÉ,Repite,1.00%,1.00%,0.00%,0.00%,1.00%,1.50%,0.00%,1.00%,0.00%,0.00%,1.30%,0.00%,0.00%,1.00%,1.30%,0.70%,1.00%,0.00%,0.60%,2.10%,0.00%,1.00%,1.00%,1.60%,1.00%,1.10%,0.00%,1.00%,0.80%,1.90%
ALHUÉ,Total,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ALTO BIOBÍO,No repite,98.50%,98.80%,97.50%,0.00%,98.50%,0.00%,98.50%,98.50%,98.20%,99.30%,0.00%,0.00%,0.00%,98.50%,99.30%,97.80%,98.50%,0.00%,98.60%,98.30%,0.00%,98.50%,99.60%,98.20%,98.50%,98.50%,0.00%,98.50%,99.60%,96.70%
ALTO BIOBÍO,Repite,1.50%,1.20%,2.50%,0.00%,1.50%,0.00%,1.50%,1.50%,1.80%,0.70%,0.00%,0.00%,0.00%,1.50%,0.70%,2.20%,1.50%,0.00%,1.40%,1.70%,0.00%,1.50%,0.40%,1.80%,1.50%,1.50%,0.00%,1.50%,0.40%,3.30%
ALTO BIOBÍO,Total,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%
ALTO DEL CARMEN,No repite,96.20%,96.20%,0.00%,0.00%,96.20%,0.00%,96.20%,96.10%,97.70%,94.80%,99.40%,0.00%,0.00%,96.20%,95.30%,97.00%,96.20%,0.00%,98.80%,90.20%,0.00%,96.10%,97.40%,94.00%,96.20%,96.10%,100.00%,96.20%,96.90%,92.60%
ALTO DEL CARMEN,Repite,3.80%,3.80%,0.00%,0.00%,3.80%,0.00%,3.80%,3.90%,2.30%,5.20%,0.60%,0.00%,0.00%,3.80%,4.70%,3.00%,3.80%,0.00%,1.20%,9.80%,0.00%,3.90%,2.60%,6.00%,3.80%,3.90%,0.00%,3.80%,3.10%,7.40%
ALTO DEL CARMEN,Total,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ALTO HOSPICIO,No repite,97.70%,95.40%,98.00%,0.00%,97.70%,97.30%,99.40%,97.70%,96.40%,97.60%,98.50%,0.00%,0.00%,97.70%,97.30%,98.20%,97.70%,0.00%,97.90%,97.90%,0.00%,97.70%,97.50%,98.70%,97.70%,97.90%,97.00%,97.70%,97.90%,96.00%
ALTO HOSPICIO,Repite,2.30%,4.60%,2.00%,0.00%,2.30%,2.70%,0.60%,2.30%,3.60%,2.40%,1.50%,0.00%,0.00%,2.30%,2.70%,1.80%,2.30%,0.00%,2.10%,2.10%,100.00%,2.30%,2.50%,1.30%,2.30%,2.10%,3.00%,2.30%,2.10%,4.00%
ALTO HOSPICIO,Total,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ANCUD,No repite,97.40%,98.20%,97.20%,0.00%,97.40%,97.10%,99.30%,97.40%,97.50%,96.30%,99.10%,98.80%,100.00%,97.40%,96.70%,98.10%,97.40%,0.00%,99.00%,94.50%,0.00%,97.40%,97.50%,97.00%,97.40%,97.30%,100.00%,97.40%,97.40%,97.60%
ANCUD,Repite,2.60%,1.80%,2.80%,0.00%,2.60%,2.90%,0.70%,2.60%,2.50%,3.70%,0.90%,1.20%,0.00%,2.60%,3.30%,1.90%,2.60%,0.00%,1.00%,5.50%,0.00%,2.60%,2.50%,3.00%,2.60%,2.70%,0.00%,2.60%,2.60%,2.40%
