region,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,ne_tot,ne_parv,ne_bas,ne_media,ne_esp,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
ANTOF,No repite,98.30%,97.70%,99.00%,99.80%,98.30%,98.30%,98.60%,98.30%,95.30%,97.50%,98.40%,99.30%,99.80%,98.30%,98.00%,98.70%,98.30%,100.00%,98.70%,97.60%,0.00%,98.30%,98.30%,99.00%,98.30%,98.50%,97.80%,98.30%,98.60%,96.10%
ANTOF,Repite,1.70%,2.30%,1.00%,0.20%,1.70%,1.70%,1.40%,1.70%,4.70%,2.50%,1.60%,0.70%,0.20%,1.70%,2.00%,1.30%,1.70%,0.00%,1.30%,2.40%,100.00%,1.70%,1.70%,1.00%,1.70%,1.50%,2.20%,1.70%,1.40%,3.90%
ANTOF,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ARAUC,No repite,98.20%,98.20%,98.20%,99.90%,98.20%,98.20%,98.40%,98.20%,97.20%,98.00%,98.80%,99.40%,99.70%,98.20%,97.80%,98.70%,98.20%,100.00%,99.10%,96.50%,0.00%,98.20%,98.40%,97.90%,98.20%,98.20%,98.50%,98.20%,98.40%,97.60%
ARAUC,Repite,1.80%,1.80%,1.80%,0.10%,1.80%,1.80%,1.60%,1.80%,2.80%,2.00%,1.20%,0.60%,0.30%,1.80%,2.20%,1.30%,1.80%,0.00%,0.90%,3.50%,100.00%,1.80%,1.60%,2.10%,1.80%,1.80%,1.50%,1.80%,1.60%,2.40%
ARAUC,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ATCMA,No repite,98.60%,98.60%,98.30%,99.40%,98.60%,98.60%,98.00%,98.50%,97.50%,97.80%,99.00%,98.70%,99.40%,98.60%,98.30%,98.90%,98.60%,100.00%,99.30%,97.00%,0.00%,98.60%,98.60%,98.20%,98.60%,98.50%,98.90%,98.60%,98.70%,97.90%
ATCMA,Repite,1.40%,1.40%,1.70%,0.60%,1.40%,1.40%,2.00%,1.50%,2.50%,2.20%,1.00%,1.30%,0.60%,1.40%,1.70%,1.10%,1.40%,0.00%,0.70%,3.00%,0.00%,1.40%,1.40%,1.80%,1.40%,1.50%,1.10%,1.40%,1.30%,2.10%
ATCMA,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
AYP,No repite,98.50%,98.30%,98.50%,99.90%,98.50%,98.40%,99.40%,98.50%,97.40%,98.10%,98.50%,99.20%,99.90%,98.50%,98.20%,98.80%,98.50%,100.00%,98.80%,97.70%,0.00%,98.50%,98.40%,98.80%,98.50%,98.60%,97.70%,98.50%,98.70%,97.20%
