slep,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,ne_tot,ne_parv,ne_bas,ne_media,ne_esp,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
CHINCHORRO,No repite,98.50%,98.30%,98.50%,99.90%,98.50%,98.40%,99.40%,98.50%,97.40%,98.10%,98.50%,99.20%,99.90%,98.50%,98.20%,98.80%,98.50%,100.00%,98.80%,97.70%,0.00%,98.50%,98.40%,98.80%,98.50%,98.60%,97.70%,98.50%,98.70%,97.20%
CHINCHORRO,Repite,1.50%,1.70%,1.50%,0.10%,1.50%,1.60%,0.60%,1.50%,2.60%,1.90%,1.50%,0.80%,0.10%,1.50%,1.80%,1.20%,1.50%,0.00%,1.20%,2.30%,0.00%,1.50%,1.60%,1.20%,1.50%,1.40%,2.30%,1.50%,1.30%,2.80%
CHINCHORRO,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
IQUIQUE,No repite,98.20%,97.20%,98.40%,99.80%,98.20%,98.10%,99.50%,98.20%,95.40%,97.70%,98.60%,99.30%,99.80%,98.20%,97.90%,98.50%,98.20%,100.00%,98.60%,97.60%,0.00%,98.20%,98.10%,98.60%,98.20%,98.40%,97.40%,98.20%,98.40%,96.70%
IQUIQUE,Repite,1.80%,2.80%,1.60%,0.20%,1.80%,1.90%,0.50%,1.80%,4.60%,2.30%,1.40%,0.70%,0.20%,1.80%,2.10%,1.50%,1.80%,0.00%,1.40%,2.40%,100.00%,1.80%,1.90%,1.40%,1.80%,1.60%,2.60%,1.80%,1.60%,3.30%
IQUIQUE,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
TAMARUGAL,No repite,98.90%,98.80%,100.00%,0.00%,98.90%,0.00%,98.90%,98.90%,99.10%,98.40%,98.90%,100.00%,92.90%,98.90%,98.60%,99.20%,98.90%,0.00%,98.90%,98.90%,0.00%,98.90%,98.60%,99.30%,98.90%,99.00%,98.60%,98.90%,99.40%,96.60%
TAMARUGAL,Repite,1.10%,1.20%,0.00%,0.00%,1.10%,0.00%,1.10%,1.10%,0.90%,1.60%,1.10%,0.00%,7.10%,1.10%,1.40%,0.80%,1.10%,0.00%,1.10%,1.10%,0.00%,1.10%,1.40%,0.70%,1.10%,1.00%,1.40%,1.10%,0.60%,3.40%
TAMARUGAL,Total,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ANTOFAGASTA,No repite,97.90%,96.90%,98.70%,99.70%,97.90%,97.90%,96.00%,97.90%,95.20%,96.60%,97.90%,99.10%,99.80%,97.90%,97.40%,98.40%,97.90%,100.00%,98.30%,97.10%,0.00%,97.80%,97.90%,97.00%,97.90%,98.00%,97.10%,97.90%,98.20%,94.60%
ANTOFAGASTA,Repite,2.10%,3.10%,1.30%,0.30%,2.10%,2.10%,4.00%,2.10%,4.80%,3.40%,2.10%,0.90%,0.20%,2.10%,2.60%,1.60%,2.10%,0.00%,1.70%,2.90%,100.00%,2.20%,2.10%,3.00%,2.10%,2.00%,2.90%,2.10%,1.80%,5.40%
ANTOFAGASTA,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
LICANCABUR,No repite,99.20%,98.90%,99.60%,100.00%,99.20%,99.20%,98.80%,99.20%,95.60%,99.00%,99.40%,99.60%,99.90%,99.20%,99.00%,99.40%,99.20%,0.00%,99.50%,98.60%,0.00%,99.20%,99.20%,99.30%,99.20%,99.30%,98.90%,99.20%,99.30%,98.50%
LICANCABUR,Repite,0.80%,1.10%,0.40%,0.00%,0.80%,0.80%,1.20%,0.80%,4.40%,1.00%,0.60%,0.40%,0.10%,0.80%,1.00%,0.60%,0.80%,0.00%,0.50%,1.40%,0.00%,0.80%,0.80%,0.70%,0.80%,0.70%,1.10%,0.80%,0.70%,1.50%
LICANCABUR,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ATACAMA,No repite,98.60%,98.70%,98.30%,99.30%,98.60%,98.60%,99.80%,98.50%,98.40%,97.60%,98.70%,98.80%,99.30%,98.60%,98.30%,98.90%,98.60%,100.00%,99.30%,97.10%,0.00%,98.60%,98.60%,98.50%,98.60%,98.60%,98.90%,98.60%,98.70%,98.10%
ATACAMA,Repite,1.40%,1.30%,1.70%,0.70%,1.40%,1.40%,0.20%,1.50%,1.60%,2.40%,1.30%,1.20%,0.70%,1.40%,1.70%,1.10%,1.40%,0.00%,0.70%,2.90%,0.00%,1.40%,1.40%,1.50%,1.40%,1.40%,1.10%,1.40%,1.30%,1.90%
ATACAMA,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
HUASCO,No repite,98.50%,98.50%,98.50%,100.00%,98.50%,98.60%,97.20%,98.50%,97.20%,98.00%,99.50%,98.50%,100.00%,98.50%,98.20%,98.80%,98.50%,0.00%,99.40%,96.70%,0.00%,98.50%,98.60%,97.30%,98.50%,98.50%,98.90%,98.50%,98.70%,97.50%
HUASCO,Repite,1.50%,1.50%,1.50%,0.00%,1.50%,1.40%,2.80%,1.50%,2.80%,2.00%,0.50%,1.50%,0.00%,1.50%,1.80%,1.20%,1.50%,0.00%,0.60%,3.30%,0.00%,1.50%,1.40%,2.70%,1.50%,1.50%,1.10%,1.50%,1.30%,2.50%
HUASCO,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
